account_id,region,contact_channel,plan_tier,service_priority,monthly_charges,tenure_months
A1001,north,email,basic,standard,39.99,8
A1002,south,phone,plus,priority,69.99,22
A1003,east,chat,pro,premium,109.99,41
A1004,west,email,plus,standard,72.50,17
A1005,north,chat,basic,priority,42.00,5
A1006,south,email,pro,premium,115.00,56
A1007,east,phone,plus,priority,68.75,31
A1008,west,chat,basic,standard,37.50,3
A1009,north,phone,pro,premium,119.00,64
A1010,south,chat,plus,standard,70.00,14
A1011,east,email,basic,priority,41.25,11
A1012,west,phone,pro,premium,112.50,48
A1013,north,chat,plus,priority,74.00,27
A1014,south,email,basic,standard,38.00,7
A1015,east,phone,pro,priority,108.00,38
A1016,west,email,plus,premium,76.00,20
A1017,north,phone,basic,standard,40.50,9
A1018,south,chat,pro,premium,117.00,52
